what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678048274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678048428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678057920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678065599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678068725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678078060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678078355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678082139
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1746678084167
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1746678084169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678084926
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1746678092411
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1746678095772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678105305
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1746678105341
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1746678107925
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1746678108347
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1746678108368
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1746678110715
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/d/D_Documents/HK6/SOC/SM4_V1/Software/SM4_V1/SM4_V1.elf] return code: 4, 'other error'",1746678114127
error,log,,,"Downloading ELF Process failed",1746678114129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678114157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678119830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678125014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678126759
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1746678127156
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1746678129132
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1746678129583
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1746678131805
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1746678134703
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1746678143356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1746678144315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1746678145010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678147789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1746678304982
